,Category: All categories,sick,symptoms,cough,fever,flu,rsv,allcovidinformation
2021-11-07,27,62.0,28.0,44.0,25.0,33.0,5.0,224.0
2021-11-14,26,60.0,26.0,43.0,27.0,27.0,8.0,217.0
2021-11-21,30,61.0,26.0,44.0,26.0,21.0,8.0,216.0
2021-11-28,35,63.0,30.0,44.0,27.0,21.0,9.0,229.0
2021-12-05,38,67.0,31.0,46.0,26.0,18.0,9.0,235.0
2021-12-12,77,64.0,39.0,46.0,29.0,20.0,8.0,283.0
2021-12-19,100,71.0,55.0,57.0,42.0,24.0,12.0,361.0
2021-12-26,82,76.0,58.0,68.0,60.0,31.0,8.0,383.0
2022-01-02,74,98.0,53.0,70.0,56.0,30.0,7.0,388.0
2022-01-09,48,95.0,42.0,59.0,42.0,19.0,6.0,311.0
2022-01-16,46,65.0,33.0,48.0,33.0,12.0,4.0,241.0
2022-01-23,27,59.0,31.0,38.0,34.0,11.0,2.0,202.0
2022-01-30,24,57.0,29.0,34.0,34.0,9.0,2.0,189.0
2022-02-06,21,56.0,28.0,27.0,28.0,10.0,1.0,171.0
2022-02-13,20,51.0,27.0,26.0,25.0,7.0,1.0,157.0
2022-02-20,16,48.0,25.0,29.0,24.0,8.0,1.0,151.0
2022-02-27,17,55.0,28.0,26.0,25.0,8.0,2.0,161.0
2022-03-06,16,52.0,28.0,27.0,26.0,9.0,2.0,160.0
2022-03-13,17,61.0,26.0,30.0,29.0,9.0,2.0,174.0
2022-03-20,16,62.0,29.0,38.0,30.0,11.0,1.0,187.0
2022-03-27,18,69.0,33.0,39.0,34.0,13.0,1.0,207.0
2022-04-03,21,71.0,36.0,49.0,40.0,14.0,1.0,232.0
2022-04-10,20,73.0,32.0,54.0,39.0,13.0,2.0,233.0
2022-04-17,16,66.0,30.0,53.0,37.0,12.0,2.0,216.0
2022-04-24,13,67.0,30.0,51.0,34.0,12.0,2.0,209.0
2022-05-01,12,64.0,25.0,48.0,34.0,11.0,1.0,195.0
2022-05-08,11,63.0,27.0,49.0,35.0,10.0,2.0,197.0
2022-05-15,9,65.0,27.0,51.0,29.0,8.0,2.0,191.0
2022-05-22,8,54.0,28.0,52.0,31.0,8.0,2.0,183.0
2022-05-29,7,54.0,27.0,46.0,30.0,7.0,2.0,173.0
2022-06-05,8,58.0,28.0,53.0,31.0,7.0,1.0,186.0
2022-06-12,8,56.0,27.0,51.0,33.0,6.0,3.0,184.0
2022-06-19,7,57.0,26.0,53.0,34.0,7.0,1.0,185.0
2022-06-26,8,57.0,27.0,57.0,36.0,7.0,2.0,194.0
2022-07-03,10,61.0,29.0,59.0,41.0,10.0,1.0,211.0
2022-07-10,12,55.0,28.0,55.0,37.0,6.0,2.0,195.0
2022-07-17,12,61.0,30.0,54.0,37.0,7.0,2.0,203.0
2022-07-24,10,59.0,30.0,46.0,35.0,6.0,1.0,187.0
2022-07-31,9,56.0,29.0,50.0,31.0,6.0,2.0,183.0
2022-08-07,8,60.0,29.0,43.0,31.0,5.0,2.0,178.0
2022-08-14,8,55.0,26.0,45.0,31.0,6.0,1.0,172.0
2022-08-21,7,54.0,25.0,43.0,31.0,9.0,1.0,170.0
2022-08-28,7,55.0,25.0,41.0,29.0,7.0,3.0,167.0
2022-09-04,6,56.0,26.0,40.0,30.0,8.0,3.0,169.0
2022-09-11,8,74.0,26.0,49.0,33.0,11.0,2.0,203.0
2022-09-18,8,66.0,26.0,59.0,34.0,13.0,2.0,208.0
2022-09-25,8,66.0,25.0,65.0,37.0,13.0,3.0,217.0
2022-10-02,8,67.0,27.0,72.0,37.0,19.0,3.0,233.0
2022-10-09,8,69.0,29.0,77.0,36.0,25.0,5.0,249.0
2022-10-16,8,70.0,28.0,78.0,43.0,38.0,10.0,275.0
2022-10-23,7,78.0,27.0,86.0,52.0,40.0,64.0,354.0
2022-10-30,7,83.0,28.0,99.0,61.0,55.0,60.0,393.0
2022-11-06,6,81.0,28.0,100.0,63.0,54.0,86.0,418.0
2022-11-13,5,83.0,28.0,95.0,59.0,56.0,100.0,426.0
2022-11-20,4,79.0,27.0,87.0,53.0,41.0,64.0,355.0
2022-11-27,4,83.0,28.0,86.0,52.0,34.0,46.0,333.0
2022-12-04,4,82.0,27.0,78.0,46.0,36.0,41.0,314.0
2022-12-11,5,77.0,27.0,75.0,43.0,33.0,33.0,293.0
2022-12-18,5,73.0,25.0,73.0,39.0,25.0,26.0,266.0
2022-12-25,5,59.0,23.0,65.0,38.0,19.0,18.0,227.0
2023-01-01,5,69.0,28.0,61.0,31.0,17.0,18.0,229.0
2023-01-08,4,68.0,27.0,51.0,27.0,14.0,11.0,202.0
2023-01-15,4,65.0,25.0,46.0,28.0,12.0,11.0,191.0
2023-01-22,4,69.0,27.0,43.0,29.0,12.0,7.0,191.0
2023-01-29,4,66.0,25.0,42.0,30.0,11.0,6.0,184.0
2023-02-05,3,67.0,26.0,43.0,30.0,12.0,7.0,188.0
2023-02-12,3,58.0,25.0,42.0,30.0,11.0,4.0,173.0
2023-02-19,3,68.0,26.0,46.0,31.0,12.0,5.0,191.0
2023-02-26,3,70.0,26.0,42.0,31.0,11.0,5.0,188.0
