,Category: All categories,cbt,selfcare,counselling,crisishotline,helpline,mindfulness,alltreatmentseeking
2020-11-22,37,57.0,37.0,59.0,24.0,56.0,50.0,320.0
2020-11-29,34,65.0,66.0,71.0,0.0,46.0,47.0,329.0
2020-12-06,97,77.0,62.0,70.0,21.0,50.0,49.0,426.0
2020-12-13,44,59.0,32.0,63.0,0.0,61.0,46.0,305.0
2020-12-20,27,26.0,40.0,38.0,0.0,41.0,38.0,210.0
2020-12-27,28,41.0,42.0,43.0,0.0,35.0,48.0,237.0
2021-01-03,30,46.0,36.0,61.0,0.0,46.0,58.0,277.0
2021-01-10,52,55.0,56.0,65.0,0.0,55.0,60.0,343.0
2021-01-17,38,56.0,48.0,66.0,34.0,68.0,52.0,362.0
2021-01-24,59,62.0,37.0,62.0,0.0,59.0,66.0,345.0
2021-01-31,40,65.0,52.0,64.0,0.0,57.0,63.0,341.0
2021-02-07,57,59.0,42.0,68.0,22.0,51.0,61.0,360.0
2021-02-14,59,39.0,36.0,59.0,0.0,56.0,53.0,302.0
2021-02-21,71,56.0,61.0,69.0,0.0,42.0,54.0,353.0
2021-02-28,63,52.0,41.0,69.0,0.0,54.0,70.0,349.0
2021-03-07,49,51.0,40.0,67.0,0.0,60.0,35.0,302.0
2021-03-14,0,66.0,35.0,66.0,16.0,32.0,43.0,258.0
2021-03-21,41,55.0,50.0,68.0,0.0,52.0,52.0,318.0
2021-03-28,54,56.0,45.0,71.0,0.0,43.0,44.0,313.0
2021-04-04,64,53.0,37.0,57.0,0.0,49.0,44.0,304.0
2021-04-11,27,68.0,50.0,64.0,0.0,41.0,48.0,298.0
2021-04-18,32,61.0,56.0,63.0,0.0,72.0,40.0,324.0
2021-04-25,0,63.0,54.0,51.0,0.0,69.0,40.0,277.0
2021-05-02,41,51.0,35.0,60.0,0.0,67.0,74.0,328.0
2021-05-09,63,56.0,37.0,67.0,0.0,49.0,50.0,322.0
2021-05-16,39,46.0,35.0,61.0,27.0,45.0,46.0,299.0
2021-05-23,33,61.0,35.0,51.0,0.0,63.0,35.0,278.0
2021-05-30,45,44.0,35.0,60.0,0.0,54.0,51.0,289.0
2021-06-06,33,47.0,40.0,54.0,0.0,63.0,35.0,272.0
2021-06-13,30,49.0,36.0,63.0,25.0,51.0,34.0,288.0
2021-06-20,56,53.0,35.0,63.0,54.0,32.0,31.0,324.0
2021-06-27,13,57.0,35.0,62.0,21.0,85.0,31.0,304.0
2021-07-04,50,59.0,34.0,69.0,28.0,23.0,38.0,301.0
2021-07-11,77,52.0,51.0,64.0,0.0,58.0,52.0,354.0
2021-07-18,26,43.0,50.0,64.0,67.0,48.0,32.0,330.0
2021-07-25,66,48.0,19.0,62.0,19.0,27.0,35.0,276.0
2021-08-01,33,47.0,39.0,57.0,24.0,51.0,38.0,289.0
2021-08-08,55,66.0,16.0,67.0,0.0,66.0,38.0,308.0
2021-08-15,43,52.0,31.0,64.0,30.0,50.0,46.0,316.0
2021-08-22,0,40.0,35.0,55.0,37.0,45.0,18.0,230.0
2021-08-29,89,23.0,31.0,62.0,0.0,62.0,37.0,304.0
2021-09-05,18,54.0,33.0,75.0,16.0,60.0,51.0,307.0
2021-09-12,0,45.0,52.0,73.0,25.0,51.0,51.0,297.0
2021-09-19,48,58.0,44.0,77.0,51.0,71.0,46.0,395.0
2021-09-26,35,82.0,36.0,72.0,0.0,51.0,40.0,316.0
2021-10-03,62,63.0,47.0,72.0,0.0,73.0,42.0,359.0
2021-10-10,30,60.0,43.0,72.0,26.0,46.0,62.0,339.0
2021-10-17,39,65.0,58.0,85.0,29.0,52.0,57.0,385.0
2021-10-24,36,49.0,45.0,72.0,42.0,41.0,52.0,337.0
2021-10-31,62,63.0,52.0,82.0,43.0,46.0,38.0,386.0
2021-11-07,33,73.0,38.0,77.0,25.0,68.0,59.0,373.0
2021-11-14,0,90.0,45.0,72.0,0.0,45.0,45.0,297.0
2021-11-21,22,66.0,50.0,68.0,0.0,61.0,46.0,313.0
2021-11-28,43,61.0,43.0,71.0,0.0,29.0,61.0,308.0
2021-12-05,100,56.0,43.0,74.0,22.0,66.0,43.0,404.0
2021-12-12,37,64.0,53.0,71.0,0.0,69.0,55.0,349.0
2021-12-19,17,39.0,40.0,37.0,0.0,37.0,32.0,202.0
2021-12-26,31,22.0,25.0,39.0,26.0,46.0,34.0,223.0
2022-01-02,53,69.0,39.0,69.0,25.0,59.0,56.0,370.0
2022-01-09,64,61.0,35.0,80.0,0.0,81.0,67.0,388.0
2022-01-16,44,59.0,46.0,67.0,33.0,48.0,53.0,350.0
2022-01-23,38,69.0,60.0,77.0,0.0,52.0,80.0,376.0
2022-01-30,66,84.0,62.0,68.0,35.0,63.0,63.0,441.0
2022-02-06,71,66.0,43.0,97.0,0.0,33.0,60.0,370.0
2022-02-13,22,64.0,55.0,85.0,47.0,48.0,51.0,372.0
2022-02-20,43,57.0,51.0,83.0,21.0,62.0,56.0,373.0
2022-02-27,49,81.0,67.0,85.0,0.0,63.0,70.0,415.0
2022-03-06,65,71.0,48.0,86.0,0.0,59.0,52.0,381.0
2022-03-13,62,77.0,59.0,81.0,27.0,60.0,61.0,427.0
2022-03-20,42,90.0,52.0,82.0,17.0,61.0,61.0,405.0
2022-03-27,66,100.0,51.0,79.0,11.0,59.0,72.0,438.0
2022-04-03,88,93.0,57.0,79.0,18.0,56.0,68.0,459.0
2022-04-10,41,87.0,45.0,82.0,0.0,73.0,52.0,380.0
2022-04-17,45,50.0,40.0,74.0,0.0,87.0,66.0,362.0
2022-04-24,30,56.0,36.0,80.0,0.0,62.0,63.0,327.0
2022-05-01,65,58.0,42.0,75.0,0.0,56.0,64.0,360.0
2022-05-08,36,42.0,36.0,69.0,20.0,54.0,55.0,312.0
2022-05-15,25,49.0,37.0,71.0,19.0,60.0,52.0,313.0
2022-05-22,63,53.0,45.0,62.0,0.0,53.0,49.0,325.0
2022-05-29,20,62.0,20.0,78.0,0.0,62.0,58.0,300.0
2022-06-05,75,52.0,40.0,59.0,53.0,92.0,52.0,423.0
2022-06-12,27,73.0,44.0,71.0,0.0,82.0,59.0,356.0
2022-06-19,56,65.0,44.0,69.0,0.0,74.0,47.0,355.0
2022-06-26,49,52.0,30.0,58.0,0.0,41.0,36.0,266.0
2022-07-03,53,58.0,34.0,72.0,0.0,62.0,34.0,313.0
2022-07-10,47,75.0,36.0,68.0,19.0,85.0,40.0,370.0
2022-07-17,39,68.0,33.0,75.0,0.0,48.0,35.0,298.0
2022-07-24,38,77.0,44.0,66.0,0.0,38.0,61.0,324.0
2022-07-31,57,60.0,20.0,68.0,23.0,48.0,44.0,320.0
2022-08-07,19,62.0,16.0,63.0,0.0,63.0,54.0,277.0
2022-08-14,31,60.0,46.0,65.0,0.0,53.0,47.0,302.0
2022-08-21,21,48.0,37.0,62.0,0.0,52.0,35.0,255.0
2022-08-28,48,53.0,25.0,63.0,0.0,38.0,44.0,271.0
2022-09-04,18,49.0,35.0,77.0,38.0,58.0,60.0,335.0
2022-09-11,60,57.0,38.0,85.0,18.0,60.0,56.0,374.0
2022-09-18,27,49.0,42.0,95.0,0.0,53.0,58.0,324.0
2022-09-25,47,46.0,35.0,90.0,0.0,54.0,75.0,347.0
2022-10-02,38,63.0,51.0,79.0,0.0,31.0,60.0,322.0
2022-10-09,10,49.0,34.0,80.0,0.0,51.0,48.0,272.0
2022-10-16,26,59.0,47.0,85.0,39.0,47.0,54.0,357.0
2022-10-23,29,66.0,44.0,76.0,0.0,51.0,51.0,317.0
2022-10-30,39,87.0,45.0,91.0,20.0,61.0,57.0,400.0
2022-11-06,73,90.0,38.0,77.0,0.0,69.0,64.0,411.0
2022-11-13,38,83.0,44.0,73.0,13.0,59.0,59.0,369.0
2022-11-20,69,75.0,45.0,83.0,51.0,43.0,45.0,411.0
2022-11-27,46,81.0,43.0,80.0,24.0,43.0,72.0,389.0
2022-12-04,21,92.0,63.0,77.0,0.0,65.0,71.0,389.0
2022-12-11,57,69.0,49.0,65.0,0.0,49.0,57.0,346.0
2022-12-18,36,41.0,21.0,51.0,0.0,80.0,43.0,272.0
2022-12-25,0,40.0,24.0,40.0,0.0,39.0,37.0,180.0
2023-01-01,33,46.0,40.0,74.0,35.0,55.0,50.0,333.0
2023-01-08,22,55.0,42.0,94.0,0.0,61.0,58.0,332.0
2023-01-15,35,70.0,51.0,89.0,19.0,40.0,70.0,374.0
2023-01-22,52,70.0,60.0,83.0,32.0,71.0,53.0,421.0
2023-01-29,47,55.0,51.0,92.0,0.0,45.0,60.0,350.0
2023-02-05,80,66.0,67.0,89.0,26.0,47.0,54.0,429.0
2023-02-12,0,65.0,63.0,79.0,0.0,48.0,61.0,316.0
2023-02-19,46,46.0,45.0,75.0,13.0,59.0,56.0,340.0
2023-02-26,11,54.0,42.0,86.0,21.0,56.0,66.0,336.0
