"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-06-10","EAST",18,13,89,24,16,6,3
"2020-06-11","EAST",17,14,72,22,18,5,4
"2020-06-12","EAST",17,12,62,22,17,5,5
"2020-06-13","EAST",18,15,57,22,16,4,1
"2020-06-14","EAST",19,14,60,23,16,4,2
"2020-06-15","EAST",18,12,53,22,13,4,1
"2020-06-16","EAST",16,12,52,20,13,4,1
"2020-06-17","EAST",15,11,50,19,12,4,1
"2020-06-18","EAST",13,12,45,16,12,3,0
"2020-06-19","EAST",13,11,34,16,11,3,0
"2020-06-20","EAST",14,12,34,17,13,3,1
"2020-06-21","EAST",14,12,35,17,12,3,0
"2020-06-22","EAST",15,9,35,18,10,3,1
"2020-06-23","EAST",14,8,32,17,8,3,0
"2020-06-24","EAST",12,5,28,15,5,3,0
"2020-06-25","EAST",13,5,32,15,5,2,0
"2020-06-26","EAST",11,5,31,14,5,3,0
"2020-06-27","EAST",9,5,27,12,5,3,0
"2020-06-28","EAST",8,5,21,11,5,3,0
"2020-06-29","EAST",8,5,24,11,5,3,0
"2020-06-30","EAST",10,5,19,12,5,2,0
"2020-07-01","EAST",8,5,19,10,5,2,0
"2020-07-02","EAST",8,3,20,10,4,2,1
"2020-07-04","EAST",7,5,18,9,6,2,1
"2020-07-05","EAST",6,5,17,8,6,2,1
"2020-07-06","EAST",6,4,15,7,4,1,0
"2020-07-07","EAST",5,3,13,6,4,1,1
"2020-07-08","EAST",3,2,12,5,4,2,2
"2020-07-09","EAST",3,2,12,5,3,2,1
"2020-07-10","EAST",4,1,12,6,2,2,1
"2020-07-11","EAST",4,2,12,6,2,2,0
"2020-07-12","EAST",4,2,12,6,3,2,1
"2020-07-13","EAST",4,2,12,6,3,2,1
"2020-07-14","EAST",5,2,15,7,3,2,1
"2020-07-15","EAST",3,2,12,5,3,2,1
"2020-07-16","EAST",4,2,14,6,2,2,0
"2020-07-17","EAST",5,3,13,7,3,2,0
"2020-07-18","EAST",4,3,15,6,3,2,0
"2020-07-19","EAST",4,3,17,6,3,2,0
"2020-07-20","EAST",7,4,14,9,4,2,0
"2020-07-21","EAST",7,4,15,9,4,2,0
"2020-07-22","EAST",7,5,15,9,5,2,0
"2020-07-23","EAST",6,4,17,7,4,1,0
"2020-07-24","EAST",5,4,13,6,4,1,0
"2020-07-25","EAST",6,4,15,7,4,1,0
"2020-07-26","EAST",6,4,16,7,4,1,0
"2020-07-27","EAST",7,4,15,8,4,1,0
"2020-07-28","EAST",7,4,16,8,4,1,0
"2020-07-29","EAST",6,3,16,7,3,1,0
"2020-07-30","EAST",7,3,17,8,3,1,0
"2020-07-31","EAST",5,1,17,7,2,2,1
"2020-08-01","EAST",4,1,14,6,2,2,1
"2020-08-02","EAST",4,1,18,6,2,2,1
"2020-08-03","EAST",4,1,14,5,2,1,1
"2020-08-04","EAST",3,0,12,4,1,1,1
"2020-08-05","EAST",3,0,13,4,1,1,1
"2020-08-06","EAST",4,0,12,5,1,1,1
"2020-08-07","EAST",4,0,9,5,0,1,0
"2020-08-08","EAST",4,0,8,5,0,1,0
"2020-08-09","EAST",4,0,11,5,0,1,0
"2020-08-10","EAST",3,0,11,4,0,1,0
"2020-08-11","EAST",3,0,9,4,0,1,0
"2020-08-12","EAST",4,0,9,4,0,0,0
"2020-08-13","EAST",3,0,11,3,0,0,0
"2020-08-14","EAST",4,0,8,4,0,0,0
"2020-08-15","EAST",4,0,8,4,0,0,0
"2020-08-16","EAST",3,0,9,3,0,0,0
"2020-08-17","EAST",3,1,9,3,1,0,0
"2020-08-18","EAST",3,1,6,3,1,0,0
"2020-08-19","EAST",4,1,5,4,1,0,0
"2020-08-20","EAST",3,1,9,3,1,0,0
"2020-08-21","EAST",3,1,11,3,1,0,0
"2020-08-22","EAST",3,1,11,3,1,0,0
"2020-08-23","EAST",4,1,8,4,1,0,0
"2020-08-24","EAST",3,1,10,4,1,1,0
"2020-08-25","EAST",3,1,12,4,1,1,0
"2020-08-26","EAST",4,1,14,5,1,1,0
"2020-08-27","EAST",4,1,12,4,1,0,0
"2020-08-28","EAST",4,1,12,4,1,0,0
"2020-08-29","EAST",4,0,11,4,0,0,0
"2020-08-30","EAST",3,1,11,3,1,0,0
"2020-08-31","EAST",3,1,13,3,1,0,0
"2020-09-01","EAST",2,1,9,2,1,0,0
"2020-09-02","EAST",3,1,11,3,1,0,0
"2020-09-03","EAST",2,0,13,3,0,1,0
"2020-09-04","EAST",2,0,10,3,0,1,0
"2020-09-05","EAST",2,1,11,3,1,1,0
"2020-09-06","EAST",3,1,12,4,1,1,0
"2020-09-07","EAST",3,0,10,4,0,1,0
"2020-09-08","EAST",3,1,14,3,1,0,0
"2020-09-09","EAST",4,1,11,4,1,0,0
"2020-09-10","EAST",4,1,10,4,1,0,0
"2020-09-11","EAST",1,1,10,1,1,0,0
"2020-09-12","EAST",1,1,11,1,1,0,0
"2020-09-13","EAST",1,1,9,1,1,0,0
"2020-09-14","EAST",2,1,8,2,1,0,0
"2020-09-15","EAST",2,1,9,2,1,0,0
"2020-09-16","EAST",1,1,10,1,1,0,0
"2020-09-17","EAST",2,0,15,2,0,0,0
"2020-09-18","EAST",2,0,11,2,0,0,0
"2020-09-19","EAST",3,0,10,3,0,0,0
"2020-09-20","EAST",3,1,10,3,1,0,0
"2020-09-21","EAST",3,0,14,3,0,0,0
"2020-09-22","EAST",4,0,15,4,0,0,0
"2020-09-23","EAST",4,0,16,4,0,0,0
"2020-09-24","EAST",4,2,25,4,2,0,0
"2020-09-25","EAST",5,2,32,5,2,0,0
"2020-09-26","EAST",6,3,39,6,3,0,0
"2020-09-27","EAST",6,3,42,6,3,0,0
"2020-09-28","EAST",8,3,54,8,3,0,0
"2020-09-29","EAST",9,4,56,9,4,0,0
"2020-09-30","EAST",9,5,60,10,5,1,0
"2020-10-01","EAST",10,6,55,11,6,1,0
"2020-10-02","EAST",11,7,59,12,7,1,0
"2020-10-03","EAST",12,8,59,13,8,1,0
"2020-10-04","EAST",12,8,63,13,8,1,0
"2020-10-05","EAST",11,9,66,12,9,1,0
"2020-10-06","EAST",12,9,66,13,9,1,0
"2020-10-07","EAST",15,11,69,16,11,1,0
"2020-10-08","EAST",16,11,60,16,11,0,0
"2020-10-09","EAST",16,11,64,16,11,0,0
"2020-10-10","EAST",19,13,63,19,13,0,0
"2020-10-11","EAST",21,12,78,21,12,0,0
"2020-10-12","EAST",21,13,76,21,13,0,0
"2020-10-13","EAST",20,12,75,20,12,0,0
"2020-10-14","EAST",20,11,81,20,11,0,0
"2020-10-15","EAST",22,11,74,22,11,0,0
"2020-10-16","EAST",25,15,68,25,15,0,0
"2020-10-17","EAST",24,16,63,24,16,0,0
"2020-10-18","EAST",25,16,68,25,16,0,0
"2020-10-19","EAST",26,15,72,26,15,0,0
"2020-10-20","EAST",26,16,80,26,16,0,0
"2020-10-21","EAST",27,14,79,28,15,1,1
"2020-10-22","EAST",26,14,82,27,15,1,1
"2020-10-23","EAST",26,16,75,27,17,1,1
"2020-10-24","EAST",25,18,81,26,19,1,1
"2020-10-25","EAST",25,16,85,26,17,1,1
"2020-10-26","EAST",26,16,88,27,17,1,1
"2020-10-27","EAST",26,16,98,27,17,1,1
"2020-10-28","EAST",27,17,99,29,18,2,1
"2020-10-29","EAST",25,16,94,28,18,3,2
"2020-10-30","EAST",24,17,97,26,19,2,2
"2020-10-31","EAST",23,14,106,25,16,2,2
"2020-11-01","EAST",24,14,111,27,15,3,1
"2020-11-02","EAST",24,14,122,28,15,4,1
"2020-11-03","EAST",24,13,124,26,14,2,1
"2020-11-04","EAST",24,13,120,26,13,2,0
"2020-11-05","EAST",29,15,115,31,16,2,1
"2020-11-06","EAST",28,16,115,31,16,3,0
"2020-11-07","EAST",30,17,118,32,17,2,0
"2020-11-08","EAST",31,19,128,33,19,2,0
"2020-11-09","EAST",27,17,128,29,17,2,0
"2020-11-10","EAST",31,19,117,33,19,2,0
"2020-11-11","EAST",34,20,132,35,20,1,0
"2020-11-12","EAST",32,19,136,33,20,1,1
"2020-11-13","EAST",30,16,122,33,19,3,3
"2020-11-14","EAST",33,17,122,36,19,3,2
"2020-11-15","EAST",32,20,120,35,22,3,2
"2020-11-16","EAST",31,20,125,34,22,3,2
"2020-11-17","EAST",30,19,121,33,21,3,2
"2020-11-18","EAST",35,21,120,37,22,2,1
"2020-11-19","EAST",34,24,116,36,25,2,1
"2020-11-20","EAST",32,22,108,33,23,1,1
"2020-11-21","EAST",30,20,112,31,21,1,1
"2020-11-22","EAST",32,19,115,33,20,1,1
"2020-11-23","EAST",34,15,110,35,16,1,1
"2020-11-24","EAST",34,17,106,35,18,1,1
"2020-11-25","EAST",29,16,98,30,17,1,1
"2020-11-26","EAST",29,17,99,31,19,2,2
"2020-11-27","EAST",28,16,104,29,17,1,1
"2020-11-28","EAST",29,19,119,30,20,1,1
"2020-11-29","EAST",33,18,124,34,19,1,1
"2020-11-30","EAST",39,21,128,40,22,1,1
"2020-12-01","EAST",39,19,127,40,20,1,1
"2020-12-02","EAST",40,17,129,44,21,4,4
"2020-12-03","EAST",41,19,129,45,22,4,3
"2020-12-04","EAST",37,17,130,41,21,4,4
"2020-12-05","EAST",38,9,126,42,13,4,4
"2020-12-06","EAST",40,20,135,44,24,4,4
"2020-12-07","EAST",40,22,137,44,26,4,4
"2020-12-08","EAST",42,24,148,46,28,4,4
"2020-12-09","EAST",43,23,151,47,27,4,4
"2020-12-10","EAST",50,23,149,53,24,3,1
"2020-12-11","EAST",48,28,138,51,30,3,2
"2020-12-12","EAST",50,28,131,53,30,3,2
"2020-12-13","EAST",47,31,135,50,33,3,2
"2020-12-14","EAST",50,31,149,53,33,3,2
"2020-12-15","EAST",54,32,143,58,35,4,3
"2020-12-16","EAST",50,34,133,53,36,3,2
"2020-12-17","EAST",45,33,128,48,35,3,2
"2020-12-18","EAST",46,33,140,49,33,3,0
"2020-12-19","EAST",45,32,140,48,34,3,2
"2020-12-20","EAST",47,35,143,49,35,2,0
"2020-12-21","EAST",46,37,147,48,38,2,1
"2020-12-22","EAST",44,34,133,46,35,2,1
"2020-12-23","EAST",45,33,121,47,34,2,1
"2020-12-24","EAST",45,33,129,46,33,1,0
"2020-12-25","EAST",43,33,131,45,34,2,1
"2020-12-26","EAST",42,31,133,44,32,2,1
"2020-12-27","EAST",44,31,135,46,32,2,1
"2020-12-28","EAST",48,31,146,50,32,2,1
"2020-12-29","EAST",55,38,153,56,38,1,0
"2020-12-30","EAST",53,33,160,54,33,1,0
"2020-12-31","EAST",51,33,156,53,33,2,0
"2021-01-01","EAST",53,38,153,55,38,2,0
"2021-01-02","EAST",55,36,166,57,36,2,0
"2021-01-03","EAST",57,37,178,59,37,2,0
"2021-01-04","EAST",61,41,178,63,41,2,0
"2021-01-05","EAST",58,39,175,60,39,2,0
"2021-01-06","EAST",58,35,199,61,36,3,1
"2021-01-07","EAST",58,37,202,61,38,3,1
"2021-01-08","EAST",64,39,208,66,40,2,1
"2021-01-09","EAST",67,46,212,69,47,2,1
"2021-01-10","EAST",68,51,215,71,52,3,1
"2021-01-11","EAST",69,48,240,72,50,3,2
"2021-01-12","EAST",68,51,223,72,52,1,1
"2021-01-13","EAST",72,50,204,75,51,3,1
"2021-01-14","EAST",72,52,225,74,53,2,1
"2021-01-15","EAST",77,55,213,80,56,3,1
"2021-01-16","EAST",81,55,223,83,55,2,0
"2021-01-17","EAST",80,58,220,82,58,2,0
"2021-01-18","EAST",75,47,209,75,47,0,0
"2021-01-19","EAST",74,50,217,75,50,1,0
"2021-01-20","EAST",72,49,200,73,49,1,0
"2021-01-21","EAST",68,53,199,69,53,1,0
"2021-01-22","EAST",70,54,202,71,54,1,0
"2021-01-23","EAST",70,48,190,70,48,0,0
"2021-01-24","EAST",72,50,195,72,50,0,0
"2021-01-25","EAST",69,53,198,70,54,1,1
"2021-01-26","EAST",67,49,194,68,50,1,1
"2021-01-27","EAST",67,46,198,68,47,1,1
"2021-01-28","EAST",65,48,194,68,51,3,3
"2021-01-29","EAST",60,42,173,64,46,4,4
"2021-01-30","EAST",62,43,170,65,45,3,2
"2021-01-31","EAST",63,46,175,66,48,3,2
"2021-02-01","EAST",61,47,172,64,50,3,3
"2021-02-02","EAST",64,50,176,67,53,3,3
"2021-02-03","EAST",66,51,171,68,52,2,1
"2021-02-04","EAST",69,47,159,72,49,3,2
"2021-02-05","EAST",70,56,147,74,58,4,2
"2021-02-06","EAST",71,56,141,76,58,5,2
"2021-02-07","EAST",78,56,147,82,57,4,1
"2021-02-08","EAST",75,55,139,80,57,5,2
"2021-02-09","EAST",70,54,133,74,56,4,2
"2021-02-10","EAST",69,50,127,72,52,3,2
"2021-02-11","EAST",68,48,120,70,50,2,2
"2021-02-12","EAST",62,46,114,64,48,2,2
"2021-02-13","EAST",57,41,113,60,44,3,3
"2021-02-14","EAST",55,43,111,58,46,3,3
"2021-02-15","EAST",55,42,115,59,44,4,2
"2021-02-16","EAST",58,45,117,61,46,3,1
"2021-02-17","EAST",54,42,107,57,43,3,1
"2021-02-18","EAST",53,40,102,57,43,4,3
"2021-02-19","EAST",52,39,89,55,42,3,3
"2021-02-20","EAST",56,40,92,59,43,3,3
"2021-02-21","EAST",59,39,100,63,42,4,3
"2021-02-22","EAST",56,38,93,62,40,6,2
"2021-02-23","EAST",58,36,90,62,38,4,2
"2021-02-24","EAST",57,35,98,62,37,5,2
"2021-02-25","EAST",57,37,97,63,42,6,5
"2021-02-26","EAST",55,37,87,59,40,4,3
"2021-02-27","EAST",60,37,100,65,39,5,2
"2021-02-28","EAST",60,36,102,65,39,5,3
"2021-03-01","EAST",58,33,107,63,35,5,2
"2021-03-02","EAST",52,31,100,56,33,4,2
"2021-03-03","EAST",51,26,109,54,28,3,2
"2021-03-04","EAST",52,30,109,56,32,4,2
"2021-03-05","EAST",46,29,98,49,31,3,2
"2021-03-06","EAST",47,25,98,49,27,2,2
"2021-03-07","EAST",51,26,108,53,28,2,2
"2021-03-08","EAST",55,33,126,57,35,2,2
"2021-03-09","EAST",50,32,115,52,34,2,2
"2021-03-10","EAST",48,31,115,52,34,4,3
"2021-03-11","EAST",55,32,117,59,35,4,3
"2021-03-12","EAST",57,33,114,61,36,4,3
"2021-03-13","EAST",56,37,117,61,39,5,2
"2021-03-14","EAST",58,39,125,62,42,4,3
"2021-03-15","EAST",60,39,118,64,42,4,3
"2021-03-16","EAST",64,41,106,68,44,4,3
"2021-03-17","EAST",64,36,113,68,39,4,3
"2021-03-18","EAST",66,37,120,70,40,4,3
"2021-03-19","EAST",62,43,128,64,45,2,2
"2021-03-20","EAST",63,43,141,65,45,2,2
"2021-03-21","EAST",65,42,139,67,44,2,2
"2021-03-22","EAST",71,42,162,73,44,2,2
"2021-03-23","EAST",73,45,161,75,47,2,2
"2021-03-24","EAST",73,45,165,75,47,2,2
"2021-03-25","EAST",81,45,180,84,47,3,2
"2021-03-26","EAST",84,44,180,87,45,3,1
"2021-03-27","EAST",83,44,193,85,45,2,1
"2021-03-28","EAST",90,48,196,93,49,3,1
"2021-03-29","EAST",86,47,198,88,47,2,0
"2021-03-30","EAST",87,52,212,89,53,2,1
"2021-03-31","EAST",93,54,229,95,55,2,1
"2021-04-01","EAST",98,57,237,100,58,2,1
"2021-04-02","EAST",101,59,245,104,60,3,1
"2021-04-03","EAST",107,65,278,111,66,4,1
"2021-04-04","EAST",114,75,303,116,76,2,1
"2021-04-05","EAST",123,77,323,125,78,2,1
"2021-04-06","EAST",121,75,338,122,76,1,1
"2021-04-07","EAST",125,80,341,127,80,2,0
"2021-04-08","EAST",135,91,347,137,91,2,0
"2021-04-09","EAST",138,91,357,140,91,2,0
"2021-04-10","EAST",135,93,374,139,94,4,1
"2021-04-11","EAST",142,102,384,145,102,3,0
"2021-04-12","EAST",147,101,401,151,102,4,1
"2021-04-13","EAST",152,106,413,157,108,5,2
"2021-04-14","EAST",157,105,415,160,106,3,1
"2021-04-15","EAST",167,113,442,172,115,5,2
"2021-04-16","EAST",168,119,462,175,122,7,3
"2021-04-17","EAST",172,122,468,178,125,6,3
"2021-04-18","EAST",163,116,473,172,121,9,5
"2021-04-19","EAST",170,117,478,178,122,8,5
"2021-04-20","EAST",182,131,482,191,133,9,2
"2021-04-21","EAST",182,138,470,189,140,7,2
"2021-04-22","EAST",184,141,474,192,144,8,3
"2021-04-23","EAST",185,142,469,195,148,10,6
"2021-04-24","EAST",193,144,480,204,150,11,6
"2021-04-25","EAST",198,141,487,210,147,12,6
"2021-04-26","EAST",195,132,484,207,138,12,6
"2021-04-27","EAST",200,141,490,209,143,9,2
"2021-04-28","EAST",198,141,481,207,145,9,4
"2021-04-29","EAST",189,139,476,204,149,15,10
"2021-04-30","EAST",193,141,460,210,150,17,9
"2021-05-01","EAST",190,139,451,207,147,17,8
"2021-05-02","EAST",185,131,461,204,141,19,10
"2021-05-03","EAST",191,121,434,209,132,18,11
"2021-05-04","EAST",193,125,394,209,135,16,10
"2021-05-05","EAST",187,117,387,205,130,18,13
"2021-05-06","EAST",181,117,377,202,131,21,14
"2021-05-07","EAST",171,112,363,188,125,17,13
"2021-05-08","EAST",172,108,363,190,119,18,11
"2021-05-09","EAST",174,94,350,191,106,17,12
"2021-05-10","EAST",173,107,356,188,116,15,9
"2021-05-11","EAST",162,98,344,176,106,14,8
"2021-05-12","EAST",157,103,326,175,114,18,11
"2021-05-13","EAST",156,104,291,174,114,18,10
"2021-05-14","EAST",142,100,283,160,112,18,12
"2021-05-15","EAST",147,97,293,163,109,16,12
"2021-05-16","EAST",149,86,298,164,98,15,12
"2021-05-17","EAST",149,97,281,164,108,15,11
"2021-05-18","EAST",138,90,265,156,104,18,14
"2021-05-19","EAST",133,84,244,153,99,20,15
"2021-05-20","EAST",133,80,253,157,97,24,17
"2021-05-21","EAST",130,81,253,153,97,23,16
"2021-05-22","EAST",124,77,242,147,94,23,17
"2021-05-23","EAST",114,68,238,134,83,20,15
"2021-05-24","EAST",113,79,224,136,96,23,17
"2021-05-25","EAST",112,72,209,136,88,24,16
"2021-05-26","EAST",112,72,188,133,86,21,14
"2021-05-27","EAST",109,72,181,137,92,28,20
"2021-05-28","EAST",98,65,175,128,86,30,21
"2021-05-29","EAST",99,64,173,128,84,29,20
"2021-05-30","EAST",98,55,165,127,73,29,18
"2021-05-31","EAST",94,50,157,120,67,26,17
"2021-06-01","EAST",89,52,154,113,70,24,18
"2021-06-02","EAST",80,50,140,104,65,24,15
"2021-06-03","EAST",77,49,135,101,61,24,12
"2021-06-04","EAST",76,48,110,101,59,25,11
"2021-06-05","EAST",74,49,119,100,57,26,8
"2021-06-06","EAST",72,46,116,96,56,24,10
"2021-06-07","EAST",67,41,100,93,50,26,9
"2021-06-08","EAST",67,45,86,90,52,23,7
"2021-06-09","EAST",64,39,73,89,46,25,7
"2021-06-10","EAST",65,41,71,85,47,20,6
"2021-06-11","EAST",58,34,70,82,43,24,9
"2021-06-12","EAST",62,38,76,81,45,19,7
"2021-06-13","EAST",59,37,78,76,45,17,8
"2021-06-14","EAST",51,31,78,67,38,16,7
"2021-06-15","EAST",49,35,73,68,42,19,7
"2021-06-16","EAST",45,30,70,63,36,18,6
"2021-06-17","EAST",44,27,66,59,34,15,7
"2021-06-18","EAST",43,26,58,59,32,16,6
"2021-06-19","EAST",38,22,62,54,28,16,6
"2021-06-20","EAST",40,22,55,53,27,13,5
"2021-06-21","EAST",34,18,55,49,23,15,5
"2021-06-22","EAST",30,16,49,42,21,12,5
"2021-06-23","EAST",28,14,49,43,18,15,4
"2021-06-24","EAST",22,12,51,39,18,17,6
"2021-06-25","EAST",23,12,41,39,16,16,4
"2021-06-26","EAST",25,9,40,40,13,15,4
"2021-06-27","EAST",24,11,38,40,16,16,5
"2021-06-28","EAST",20,9,34,37,14,17,5
"2021-06-29","EAST",17,9,32,33,15,16,6
"2021-06-30","EAST",16,9,42,29,15,13,6
"2021-07-01","EAST",18,8,39,33,13,15,5
"2021-07-02","EAST",17,7,32,31,11,14,4
"2021-07-03","EAST",17,8,27,29,12,12,4
"2021-07-04","EAST",14,9,27,25,13,11,4
"2021-07-05","EAST",15,10,32,26,15,11,5
"2021-07-06","EAST",14,9,33,25,14,11,5
"2021-07-07","EAST",12,7,34,20,12,8,5
"2021-07-08","EAST",13,6,24,20,9,7,3
"2021-07-09","EAST",9,6,26,17,10,8,4
"2021-07-10","EAST",10,7,31,17,9,7,2
"2021-07-11","EAST",12,6,30,19,9,7,3
"2021-07-12","EAST",12,5,33,18,7,6,2
"2021-07-13","EAST",12,6,33,17,8,5,2
"2021-07-14","EAST",11,6,26,13,7,2,1
"2021-07-15","EAST",9,6,21,11,8,2,2
"2021-07-16","EAST",10,7,20,12,8,2,1
"2021-07-17","EAST",9,4,21,12,5,3,1
"2021-07-18","EAST",9,5,22,12,6,3,1
"2021-07-19","EAST",10,7,22,13,9,3,2
"2021-07-20","EAST",10,4,21,13,6,3,2
"2021-07-21","EAST",10,4,18,13,6,3,2
"2021-07-22","EAST",11,4,18,14,6,3,2
"2021-07-23","EAST",11,5,18,14,7,3,2
"2021-07-24","EAST",11,5,15,14,7,3,2
"2021-07-25","EAST",10,4,15,13,5,3,1
"2021-07-26","EAST",8,3,13,11,4,3,1
"2021-07-27","EAST",5,5,15,8,7,3,2
"2021-07-28","EAST",5,4,13,7,5,2,1
"2021-07-29","EAST",5,5,12,8,5,3,0
"2021-07-30","EAST",5,5,10,7,5,2,0
"2021-07-31","EAST",4,3,9,6,3,2,0
"2021-08-01","EAST",5,3,8,6,3,1,0
"2021-08-02","EAST",5,2,10,5,2,0,0
"2021-08-03","EAST",5,4,9,5,4,0,0
"2021-08-04","EAST",6,4,9,6,4,0,0
"2021-08-05","EAST",7,4,11,7,4,0,0
"2021-08-06","EAST",8,5,10,8,5,0,0
"2021-08-07","EAST",8,4,12,8,4,0,0
"2021-08-08","EAST",9,3,13,10,3,1,0
"2021-08-09","EAST",9,4,10,10,4,1,0
"2021-08-10","EAST",9,6,15,10,6,1,0
"2021-08-11","EAST",8,6,12,8,6,0,0
"2021-08-12","EAST",9,4,10,9,4,0,0
"2021-08-13","EAST",8,3,11,8,3,0,0
"2021-08-14","EAST",9,4,8,9,4,0,0
"2021-08-15","EAST",10,2,11,10,2,0,0
"2021-08-16","EAST",12,5,14,12,5,0,0
"2021-08-17","EAST",12,4,13,12,4,0,0
"2021-08-18","EAST",14,5,16,14,5,0,0
"2021-08-19","EAST",15,6,17,15,6,0,0
"2021-08-20","EAST",15,5,22,15,5,0,0
"2021-08-21","EAST",15,4,30,15,4,0,0
"2021-08-22","EAST",16,5,25,17,5,1,0
"2021-08-23","EAST",16,5,24,17,5,1,0
"2021-08-24","EAST",17,5,21,19,5,2,0
"2021-08-25","EAST",18,6,23,20,6,2,0
"2021-08-26","EAST",17,6,25,18,6,1,0
"2021-08-27","EAST",17,6,24,17,6,0,0
"2021-08-28","EAST",17,6,29,17,6,0,0
"2021-08-29","EAST",17,6,30,17,6,0,0
"2021-08-30","EAST",19,5,30,19,5,0,0
"2021-08-31","EAST",17,5,31,18,5,1,0
"2021-09-01","EAST",16,8,37,17,8,1,0
"2021-09-02","EAST",17,6,37,18,6,1,0
"2021-09-03","EAST",19,7,39,19,7,0,0
"2021-09-04","EAST",22,9,43,23,10,1,1
"2021-09-05","EAST",23,10,42,24,11,1,1
"2021-09-06","EAST",24,10,42,25,11,1,1
"2021-09-07","EAST",24,9,42,25,10,1,1
"2021-09-08","EAST",22,10,35,23,11,1,1
"2021-09-09","EAST",21,9,39,22,10,1,1
"2021-09-10","EAST",22,10,39,23,11,1,1
"2021-09-11","EAST",21,10,34,22,11,1,1
"2021-09-12","EAST",22,11,34,23,11,1,0
"2021-09-13","EAST",26,11,36,27,11,1,0
"2021-09-14","EAST",27,15,37,28,16,1,1
"2021-09-15","EAST",26,10,41,27,11,1,1
"2021-09-16","EAST",30,20,38,31,21,1,1
"2021-09-17","EAST",26,17,29,27,18,1,1
"2021-09-18","EAST",27,21,32,28,22,1,1
"2021-09-19","EAST",27,20,33,28,21,1,1
"2021-09-20","EAST",28,17,32,31,19,3,2
"2021-09-21","EAST",32,18,37,35,19,3,1
"2021-09-22","EAST",31,17,38,34,19,3,2
"2021-09-23","EAST",33,19,41,36,20,3,1
"2021-09-24","EAST",29,16,33,32,17,3,1
"2021-09-25","EAST",30,16,36,32,17,2,1
"2021-09-26","EAST",34,22,42,38,24,4,2
"2021-09-27","EAST",31,20,44,35,21,4,1
"2021-09-28","EAST",29,23,39,32,26,3,3
"2021-09-29","EAST",29,20,46,32,23,3,3
"2021-09-30","EAST",27,20,48,30,23,3,3
"2021-10-01","EAST",28,19,43,31,22,3,3
"2021-10-02","EAST",30,20,45,34,23,4,3
"2021-10-03","EAST",31,20,46,34,22,3,2
"2021-10-04","EAST",30,20,44,33,22,3,2
"2021-10-05","EAST",29,17,42,32,19,3,2
"2021-10-06","EAST",27,14,41,30,16,3,2
"2021-10-07","EAST",30,17,42,32,18,2,1
"2021-10-08","EAST",31,16,37,33,17,2,1
"2021-10-09","EAST",30,17,33,33,19,3,2
"2021-10-10","EAST",31,17,30,35,18,4,1
"2021-10-11","EAST",30,18,40,33,19,3,1
"2021-10-12","EAST",30,17,44,33,18,3,1
"2021-10-13","EAST",30,16,42,34,18,4,2
"2021-10-14","EAST",30,15,37,35,17,5,2
"2021-10-15","EAST",30,19,35,35,22,5,3
"2021-10-16","EAST",29,15,42,33,17,4,2
"2021-10-17","EAST",30,17,47,34,19,4,2
"2021-10-18","EAST",28,17,47,31,19,3,2
"2021-10-19","EAST",27,17,54,29,19,2,2
"2021-10-20","EAST",27,16,43,29,18,2,2
"2021-10-21","EAST",26,14,49,28,16,2,2
"2021-10-22","EAST",25,13,44,28,16,3,3
"2021-10-23","EAST",24,14,42,28,17,4,3
"2021-10-24","EAST",24,13,36,28,16,4,3
"2021-10-25","EAST",24,11,29,28,14,4,3
"2021-10-26","EAST",24,16,27,28,18,4,2
"2021-10-27","EAST",25,17,29,29,20,4,3
"2021-10-28","EAST",23,14,33,27,16,4,2
"2021-10-29","EAST",23,15,40,26,18,3,3
"2021-10-30","EAST",22,13,43,25,15,3,2
"2021-10-31","EAST",20,12,40,23,14,3,2
"2021-11-01","EAST",21,10,44,24,12,3,2
"2021-11-02","EAST",21,10,39,24,12,3,2
"2021-11-03","EAST",22,11,40,25,13,3,2
"2021-11-04","EAST",22,8,17,26,11,4,3
"2021-11-05","EAST",21,9,31,24,12,3,3
"2021-11-06","EAST",20,11,36,23,14,3,3
"2021-11-07","EAST",21,9,45,25,11,4,2
"2021-11-08","EAST",22,8,44,26,11,4,3
"2021-11-09","EAST",25,8,51,29,9,4,1
"2021-11-10","EAST",25,8,54,29,10,4,2
"2021-11-11","EAST",25,10,58,29,12,4,2
"2021-11-12","EAST",23,9,66,27,11,4,2
"2021-11-13","EAST",22,9,57,26,10,4,1
"2021-11-14","EAST",23,10,58,27,12,4,2
"2021-11-15","EAST",21,11,46,24,13,3,2
"2021-11-16","EAST",20,12,48,23,14,3,2
"2021-11-17","EAST",20,12,46,23,14,3,2
"2021-11-18","EAST",19,10,46,22,11,3,1
"2021-11-19","EAST",20,11,43,23,13,3,2
"2021-11-20","EAST",21,12,42,24,14,3,2
"2021-11-21","EAST",20,11,50,23,13,3,2
"2021-11-22","EAST",22,13,54,25,15,3,2
"2021-11-23","EAST",24,15,50,27,17,3,2
"2021-11-24","EAST",24,15,55,28,18,4,3
"2021-11-25","EAST",24,12,50,29,15,5,3
"2021-11-26","EAST",23,13,49,28,16,5,3
"2021-11-27","EAST",25,14,61,30,17,5,3
