,Category: All categories,cbt,selfcare,counselling,crisisline,mindfulness,alltreatmentseeking
Week,Cognitive behavioral therapy: (Ontario),cbt: (Ontario),selfcare: (Ontario),counselling: (Ontario),crisisline: (Ontario),mindfulness: (Ontario),alltreatmentseeking: (Ontario)
2021-09-05,18,44.0,33.0,72.0,100.0,44.0,311.0
2021-09-12,35,58.0,42.0,74.0,37.0,47.0,293.0
2021-09-19,82,64.0,55.0,77.0,34.0,45.0,357.0
2021-09-26,51,68.0,30.0,76.0,50.0,36.0,311.0
2021-10-03,57,64.0,47.0,71.0,46.0,46.0,331.0
2021-10-10,35,48.0,48.0,70.0,52.0,55.0,308.0
2021-10-17,20,55.0,70.0,89.0,38.0,56.0,328.0
2021-10-24,31,50.0,35.0,69.0,39.0,46.0,270.0
2021-10-31,24,62.0,39.0,79.0,53.0,46.0,303.0
2021-11-07,0,78.0,37.0,77.0,33.0,66.0,291.0
2021-11-14,29,79.0,41.0,65.0,33.0,42.0,289.0
2021-11-21,29,62.0,52.0,71.0,23.0,48.0,285.0
2021-11-28,52,67.0,46.0,73.0,27.0,59.0,324.0
2021-12-05,64,47.0,44.0,73.0,72.0,51.0,351.0
2021-12-12,46,61.0,52.0,70.0,47.0,40.0,316.0
2021-12-19,17,32.0,35.0,39.0,28.0,33.0,184.0
2021-12-26,0,26.0,20.0,40.0,53.0,18.0,157.0
2022-01-02,22,70.0,41.0,66.0,50.0,52.0,301.0
2022-01-09,54,60.0,48.0,83.0,82.0,66.0,393.0
2022-01-16,57,62.0,49.0,64.0,40.0,46.0,318.0
2022-01-23,54,62.0,57.0,75.0,65.0,96.0,409.0
2022-01-30,55,81.0,52.0,70.0,46.0,61.0,365.0
2022-02-06,45,64.0,52.0,94.0,35.0,55.0,345.0
2022-02-13,50,68.0,55.0,86.0,64.0,44.0,367.0
2022-02-20,36,51.0,47.0,79.0,38.0,54.0,305.0
2022-02-27,46,83.0,62.0,86.0,70.0,62.0,409.0
2022-03-06,83,81.0,42.0,83.0,36.0,49.0,374.0
2022-03-13,54,73.0,52.0,79.0,57.0,51.0,366.0
2022-03-20,37,89.0,52.0,80.0,47.0,61.0,366.0
2022-03-27,48,100.0,57.0,78.0,41.0,65.0,389.0
2022-04-03,58,94.0,51.0,78.0,63.0,64.0,408.0
2022-04-10,15,92.0,44.0,77.0,33.0,48.0,309.0
2022-04-17,39,50.0,43.0,76.0,35.0,60.0,303.0
2022-04-24,37,55.0,36.0,78.0,36.0,54.0,296.0
2022-05-01,25,56.0,41.0,79.0,35.0,59.0,295.0
2022-05-08,40,53.0,32.0,69.0,37.0,52.0,283.0
2022-05-15,17,42.0,42.0,70.0,30.0,65.0,266.0
2022-05-22,51,52.0,34.0,62.0,90.0,42.0,331.0
2022-05-29,0,60.0,16.0,79.0,27.0,58.0,240.0
2022-06-05,40,48.0,33.0,57.0,64.0,50.0,292.0
2022-06-12,36,68.0,49.0,70.0,71.0,58.0,352.0
2022-06-19,46,59.0,27.0,68.0,19.0,40.0,259.0
2022-06-26,59,51.0,23.0,60.0,67.0,37.0,297.0
2022-07-03,32,62.0,37.0,72.0,44.0,30.0,277.0
2022-07-10,60,71.0,40.0,64.0,39.0,19.0,293.0
2022-07-17,71,79.0,32.0,76.0,41.0,29.0,328.0
2022-07-24,65,80.0,41.0,63.0,56.0,40.0,345.0
2022-07-31,42,64.0,17.0,72.0,19.0,50.0,264.0
2022-08-07,19,65.0,27.0,63.0,53.0,43.0,270.0
2022-08-14,19,55.0,42.0,64.0,40.0,47.0,267.0
2022-08-21,14,52.0,27.0,63.0,35.0,53.0,244.0
2022-08-28,14,52.0,30.0,59.0,26.0,42.0,223.0
2022-09-04,0,58.0,36.0,76.0,49.0,52.0,271.0
2022-09-11,37,53.0,38.0,83.0,36.0,54.0,301.0
2022-09-18,0,53.0,37.0,100.0,34.0,51.0,275.0
2022-09-25,38,47.0,42.0,91.0,45.0,64.0,327.0
2022-10-02,54,57.0,48.0,76.0,30.0,57.0,322.0
2022-10-09,11,49.0,39.0,80.0,30.0,39.0,248.0
2022-10-16,26,71.0,44.0,88.0,37.0,56.0,322.0
2022-10-23,52,70.0,40.0,74.0,73.0,66.0,375.0
2022-10-30,26,81.0,46.0,88.0,38.0,54.0,333.0
2022-11-06,15,87.0,45.0,75.0,41.0,58.0,321.0
2022-11-13,64,77.0,43.0,69.0,74.0,60.0,387.0
2022-11-20,43,74.0,47.0,83.0,36.0,45.0,328.0
2022-11-27,52,82.0,39.0,78.0,80.0,70.0,401.0
2022-12-04,26,91.0,61.0,77.0,72.0,69.0,396.0
2022-12-11,59,70.0,58.0,64.0,63.0,51.0,365.0
2022-12-18,10,39.0,31.0,50.0,58.0,38.0,226.0
2022-12-25,0,47.0,31.0,39.0,20.0,37.0,174.0
2023-01-01,20,53.0,29.0,87.0,18.0,49.0,256.0
