,Category: All categories,anxiety,suicide,fear,loneliness,allmentaldistress
2018-09-16,74,81.0,26.0,54.0,53.0,288.0
2018-09-23,76,88.0,25.0,52.0,73.0,314.0
2018-09-30,74,83.0,21.0,49.0,55.0,282.0
2018-10-07,85,92.0,24.0,51.0,66.0,318.0
2018-10-14,84,98.0,23.0,53.0,91.0,349.0
2018-10-21,84,92.0,25.0,46.0,37.0,284.0
2018-10-28,93,95.0,28.0,41.0,61.0,318.0
2018-11-04,99,94.0,23.0,45.0,75.0,336.0
2018-11-11,94,89.0,23.0,45.0,28.0,279.0
2018-11-18,90,92.0,24.0,34.0,64.0,304.0
2018-11-25,94,93.0,23.0,40.0,58.0,308.0
2018-12-02,94,90.0,23.0,39.0,54.0,300.0
2018-12-09,96,81.0,22.0,43.0,62.0,304.0
2018-12-16,80,80.0,22.0,38.0,54.0,274.0
2018-12-23,59,71.0,19.0,30.0,18.0,197.0
2018-12-30,76,79.0,20.0,29.0,56.0,260.0
2019-01-06,83,87.0,21.0,37.0,53.0,281.0
2019-01-13,82,85.0,22.0,42.0,85.0,316.0
2019-01-20,85,91.0,26.0,33.0,47.0,282.0
2019-01-27,98,95.0,21.0,32.0,49.0,295.0
2019-02-03,82,88.0,22.0,32.0,71.0,295.0
2019-02-10,80,80.0,19.0,34.0,62.0,275.0
2019-02-17,84,90.0,24.0,40.0,67.0,305.0
2019-02-24,79,83.0,27.0,34.0,71.0,294.0
2019-03-03,78,86.0,23.0,34.0,55.0,276.0
2019-03-10,85,87.0,22.0,29.0,52.0,275.0
2019-03-17,90,94.0,34.0,32.0,67.0,317.0
2019-03-24,93,89.0,25.0,39.0,25.0,271.0
2019-03-31,85,88.0,24.0,44.0,56.0,297.0
2019-04-07,78,87.0,25.0,34.0,46.0,270.0
2019-04-14,74,85.0,19.0,35.0,51.0,264.0
2019-04-21,79,84.0,19.0,38.0,64.0,284.0
2019-04-28,83,86.0,18.0,33.0,21.0,241.0
2019-05-05,86,77.0,18.0,34.0,0.0,215.0
2019-05-12,77,84.0,18.0,37.0,45.0,261.0
2019-05-19,81,80.0,21.0,42.0,23.0,247.0
2019-05-26,81,79.0,20.0,42.0,53.0,275.0
2019-06-02,68,82.0,19.0,43.0,74.0,286.0
2019-06-09,74,76.0,17.0,34.0,53.0,254.0
2019-06-16,77,78.0,17.0,31.0,79.0,282.0
2019-06-23,58,76.0,20.0,34.0,22.0,210.0
2019-06-30,63,69.0,16.0,31.0,48.0,227.0
2019-07-07,69,77.0,17.0,35.0,42.0,240.0
2019-07-14,70,78.0,19.0,39.0,36.0,242.0
2019-07-21,67,74.0,19.0,31.0,31.0,222.0
2019-07-28,64,78.0,19.0,38.0,46.0,245.0
2019-08-04,69,82.0,21.0,46.0,29.0,247.0
2019-08-11,63,84.0,23.0,36.0,42.0,248.0
2019-08-18,63,79.0,20.0,39.0,33.0,234.0
2019-08-25,60,72.0,20.0,55.0,29.0,236.0
2019-09-01,56,79.0,20.0,42.0,37.0,234.0
2019-09-08,63,80.0,27.0,41.0,45.0,256.0
2019-09-15,67,83.0,21.0,43.0,52.0,266.0
2019-09-22,69,85.0,24.0,46.0,57.0,281.0
2019-09-29,72,81.0,26.0,51.0,80.0,310.0
2019-10-06,75,85.0,24.0,47.0,49.0,280.0
2019-10-13,80,86.0,24.0,50.0,63.0,303.0
2019-10-20,79,82.0,20.0,50.0,57.0,288.0
2019-10-27,85,85.0,25.0,54.0,46.0,295.0
2019-11-03,89,82.0,21.0,41.0,53.0,286.0
2019-11-10,83,78.0,21.0,35.0,58.0,275.0
2019-11-17,88,88.0,21.0,35.0,57.0,289.0
2019-11-24,95,87.0,22.0,40.0,44.0,288.0
2019-12-01,77,79.0,18.0,35.0,69.0,278.0
2019-12-08,82,84.0,23.0,32.0,52.0,273.0
2019-12-15,74,72.0,19.0,34.0,58.0,257.0
2019-12-22,62,65.0,17.0,28.0,54.0,226.0
2019-12-29,62,80.0,19.0,30.0,60.0,251.0
2020-01-05,76,79.0,21.0,36.0,44.0,256.0
2020-01-12,87,89.0,19.0,36.0,63.0,294.0
2020-01-19,93,89.0,20.0,35.0,67.0,304.0
2020-01-26,85,91.0,18.0,34.0,33.0,261.0
2020-02-02,81,83.0,24.0,31.0,64.0,283.0
2020-02-09,73,78.0,22.0,33.0,65.0,271.0
2020-02-16,76,82.0,21.0,36.0,41.0,256.0
2020-02-23,77,89.0,19.0,34.0,79.0,298.0
2020-03-01,83,87.0,20.0,39.0,67.0,296.0
2020-03-08,78,81.0,17.0,46.0,58.0,280.0
2020-03-15,79,78.0,13.0,50.0,61.0,281.0
2020-03-22,83,78.0,17.0,47.0,55.0,280.0
2020-03-29,83,82.0,19.0,43.0,61.0,288.0
2020-04-05,79,74.0,18.0,41.0,78.0,290.0
2020-04-12,93,76.0,17.0,42.0,89.0,317.0
2020-04-19,80,77.0,18.0,42.0,62.0,279.0
2020-04-26,79,71.0,21.0,42.0,62.0,275.0
2020-05-03,71,72.0,18.0,37.0,72.0,270.0
2020-05-10,80,75.0,15.0,39.0,73.0,282.0
2020-05-17,71,83.0,18.0,39.0,42.0,253.0
2020-05-24,65,76.0,17.0,36.0,55.0,249.0
2020-05-31,59,77.0,19.0,38.0,52.0,245.0
2020-06-07,69,70.0,16.0,40.0,47.0,242.0
2020-06-14,78,81.0,27.0,35.0,42.0,263.0
2020-06-21,60,84.0,18.0,34.0,43.0,239.0
2020-06-28,64,78.0,20.0,36.0,28.0,226.0
2020-07-05,65,85.0,18.0,30.0,56.0,254.0
2020-07-12,64,83.0,18.0,37.0,59.0,261.0
2020-07-19,69,81.0,18.0,35.0,58.0,261.0
2020-07-26,70,81.0,17.0,38.0,50.0,256.0
2020-08-02,64,82.0,18.0,35.0,86.0,285.0
2020-08-09,63,89.0,17.0,30.0,55.0,254.0
2020-08-16,57,86.0,19.0,35.0,38.0,235.0
2020-08-23,62,85.0,26.0,34.0,39.0,246.0
2020-08-30,56,78.0,20.0,30.0,24.0,208.0
2020-09-06,59,86.0,39.0,33.0,42.0,259.0
2020-09-13,64,85.0,20.0,35.0,14.0,218.0
2020-09-20,69,85.0,18.0,38.0,48.0,258.0
2020-09-27,67,86.0,19.0,37.0,53.0,262.0
2020-10-04,71,83.0,16.0,40.0,54.0,264.0
2020-10-11,82,89.0,19.0,45.0,74.0,309.0
2020-10-18,80,90.0,18.0,43.0,47.0,278.0
2020-10-25,72,90.0,18.0,48.0,66.0,294.0
2020-11-01,66,80.0,18.0,35.0,51.0,250.0
2020-11-08,71,86.0,16.0,40.0,58.0,271.0
2020-11-15,70,87.0,17.0,39.0,38.0,251.0
2020-11-22,68,82.0,17.0,35.0,32.0,234.0
2020-11-29,67,84.0,18.0,36.0,31.0,236.0
2020-12-06,78,87.0,16.0,33.0,33.0,247.0
2020-12-13,79,84.0,15.0,31.0,29.0,238.0
2020-12-20,51,76.0,18.0,29.0,44.0,218.0
2020-12-27,57,82.0,18.0,35.0,58.0,250.0
2021-01-03,67,87.0,16.0,30.0,55.0,255.0
2021-01-10,62,89.0,24.0,37.0,56.0,268.0
2021-01-17,70,93.0,18.0,34.0,64.0,279.0
2021-01-24,77,87.0,23.0,34.0,65.0,286.0
2021-01-31,69,98.0,22.0,34.0,36.0,259.0
2021-02-07,65,87.0,20.0,34.0,60.0,266.0
2021-02-14,74,84.0,18.0,35.0,37.0,248.0
2021-02-21,75,92.0,19.0,33.0,92.0,311.0
2021-02-28,75,92.0,16.0,31.0,50.0,264.0
2021-03-07,72,91.0,18.0,31.0,53.0,265.0
2021-03-14,69,86.0,16.0,31.0,44.0,246.0
2021-03-21,70,89.0,29.0,34.0,15.0,237.0
2021-03-28,64,87.0,28.0,34.0,36.0,249.0
2021-04-04,70,86.0,20.0,35.0,41.0,252.0
2021-04-11,56,83.0,18.0,39.0,34.0,230.0
2021-04-18,62,84.0,16.0,35.0,35.0,232.0
2021-04-25,55,87.0,18.0,39.0,33.0,232.0
2021-05-02,61,89.0,17.0,35.0,25.0,227.0
2021-05-09,58,85.0,16.0,40.0,26.0,225.0
2021-05-16,62,79.0,18.0,38.0,9.0,206.0
2021-05-23,68,86.0,16.0,34.0,40.0,244.0
2021-05-30,63,85.0,16.0,37.0,50.0,251.0
2021-06-06,59,80.0,16.0,39.0,43.0,237.0
2021-06-13,61,76.0,16.0,38.0,18.0,209.0
2021-06-20,59,77.0,19.0,32.0,44.0,231.0
2021-06-27,50,77.0,15.0,42.0,41.0,225.0
2021-07-04,60,85.0,16.0,77.0,38.0,276.0
2021-07-11,51,87.0,17.0,100.0,22.0,277.0
2021-07-18,55,78.0,23.0,82.0,62.0,300.0
2021-07-25,55,87.0,33.0,57.0,43.0,275.0
2021-08-01,56,84.0,80.0,60.0,59.0,339.0
2021-08-08,58,89.0,100.0,54.0,53.0,354.0
2021-08-15,54,79.0,53.0,45.0,63.0,294.0
2021-08-22,56,85.0,40.0,43.0,48.0,272.0
2021-08-29,52,83.0,31.0,43.0,16.0,225.0
2021-09-05,53,92.0,29.0,42.0,16.0,232.0
2021-09-12,57,82.0,22.0,45.0,41.0,247.0
2021-09-19,61,82.0,20.0,38.0,53.0,254.0
2021-09-26,54,85.0,21.0,45.0,38.0,243.0
2021-10-03,66,92.0,17.0,52.0,47.0,274.0
2021-10-10,65,97.0,21.0,56.0,0.0,239.0
2021-10-17,74,93.0,20.0,57.0,43.0,287.0
2021-10-24,66,85.0,19.0,54.0,28.0,252.0
2021-10-31,75,87.0,19.0,43.0,41.0,265.0
2021-11-07,68,89.0,19.0,33.0,53.0,262.0
2021-11-14,67,86.0,18.0,34.0,71.0,276.0
2021-11-21,64,83.0,17.0,34.0,49.0,247.0
2021-11-28,69,79.0,17.0,36.0,43.0,244.0
2021-12-05,72,91.0,20.0,36.0,46.0,265.0
2021-12-12,63,89.0,18.0,36.0,61.0,267.0
2021-12-19,46,71.0,18.0,29.0,52.0,216.0
2021-12-26,53,72.0,20.0,32.0,26.0,203.0
2022-01-02,60,80.0,22.0,35.0,29.0,226.0
2022-01-09,68,87.0,20.0,41.0,52.0,268.0
2022-01-16,62,79.0,19.0,41.0,61.0,262.0
2022-01-23,75,93.0,19.0,43.0,47.0,277.0
2022-01-30,65,84.0,19.0,37.0,44.0,249.0
2022-02-06,73,90.0,18.0,38.0,41.0,260.0
2022-02-13,70,84.0,19.0,34.0,52.0,259.0
2022-02-20,67,81.0,18.0,40.0,55.0,261.0
2022-02-27,74,94.0,18.0,39.0,39.0,264.0
2022-03-06,75,89.0,19.0,41.0,65.0,289.0
2022-03-13,69,95.0,18.0,35.0,44.0,261.0
2022-03-20,77,100.0,18.0,40.0,50.0,285.0
2022-03-27,78,93.0,19.0,40.0,40.0,270.0
2022-04-03,81,86.0,18.0,45.0,22.0,252.0
2022-04-10,78,90.0,18.0,43.0,80.0,309.0
2022-04-17,69,88.0,19.0,41.0,37.0,254.0
2022-04-24,67,78.0,18.0,41.0,74.0,278.0
2022-05-01,69,87.0,21.0,39.0,53.0,269.0
2022-05-08,66,72.0,16.0,41.0,48.0,243.0
2022-05-15,61,77.0,18.0,44.0,48.0,248.0
2022-05-22,63,81.0,17.0,40.0,25.0,226.0
2022-05-29,61,78.0,16.0,42.0,53.0,250.0
2022-06-05,64,77.0,15.0,38.0,66.0,260.0
2022-06-12,65,78.0,19.0,43.0,42.0,247.0
2022-06-19,68,72.0,20.0,35.0,27.0,222.0
2022-06-26,51,72.0,16.0,34.0,39.0,212.0
2022-07-03,51,73.0,15.0,36.0,32.0,207.0
2022-07-10,59,78.0,16.0,33.0,61.0,247.0
2022-07-17,55,78.0,17.0,39.0,52.0,241.0
2022-07-24,58,78.0,13.0,37.0,53.0,239.0
2022-07-31,54,82.0,15.0,36.0,44.0,231.0
2022-08-07,60,81.0,15.0,32.0,47.0,235.0
2022-08-14,57,69.0,16.0,33.0,32.0,207.0
2022-08-21,42,79.0,15.0,34.0,33.0,203.0
2022-08-28,53,82.0,17.0,32.0,56.0,240.0
2022-09-04,51,78.0,18.0,35.0,59.0,241.0
2022-09-11,57,82.0,16.0,40.0,52.0,247.0
2022-09-18,64,82.0,15.0,40.0,33.0,234.0
2022-09-25,65,77.0,17.0,42.0,52.0,253.0
2022-10-02,60,74.0,15.0,43.0,69.0,261.0
2022-10-09,59,74.0,16.0,51.0,58.0,258.0
2022-10-16,68,80.0,17.0,49.0,56.0,270.0
2022-10-23,72,83.0,19.0,45.0,70.0,289.0
2022-10-30,73,83.0,19.0,39.0,91.0,305.0
2022-11-06,74,81.0,15.0,36.0,59.0,265.0
2022-11-13,68,77.0,20.0,38.0,73.0,276.0
2022-11-20,76,71.0,17.0,37.0,50.0,251.0
2022-11-27,73,88.0,18.0,38.0,55.0,272.0
2022-12-04,72,79.0,22.0,38.0,48.0,259.0
2022-12-11,80,79.0,37.0,41.0,51.0,288.0
2022-12-18,57,70.0,27.0,33.0,34.0,221.0
2022-12-25,47,64.0,20.0,37.0,38.0,206.0
